,covid_cases_geocode
2019,2111789
2020,4215752
2021,2514503
2022,2210359
2023,2111409
2024,4217105
2025,3164605
2026,2615003
2027,2112506
2028,2517001
2029,3556354
2030,1200708
2031,3500402
2032,3500204
2033,3502309
2034,2300804
2035,2101103
2036,1501253
2037,2101772
2038,2101905
2039,4302253
2040,2401701
2041,1100049
2042,3509304
2043,1400209
2044,2801405
2045,3511706
2046,1705508
2047,2604809
2048,2604908
2049,3122405
2050,2104008
2051,2204105
2052,4205803
2053,1101005
2054,1100106
2055,2305100
2056,2911808
2057,2104909
2058,2305308
2059,4206801
2060,2606705
2061,3519600
2062,3130051
2063,4310207
2064,4111407
2065,3136652
2066,2803609
2067,4209607
2068,2803708
2069,2508901
2070,4312138
2071,2308351
2072,3303005
2073,2308609
2074,4312385
2075,2309003
2076,2804300
2077,3533106
2078,1100502
2079,2705606
2080,1505437
2081,2408904
2082,2108058
2083,1505601
2084,5106422
2085,2311009
2086,2410207
2087,1506005
2088,2109239
2089,2512309
2090,2512903
2091,2612000
2092,3545407
2093,5219258
2094,2612604
2095,3547007
2096,3159605
2097,2806602
2098,2515807
2099,4318457
2100,4216354
2101,2613206
2102,2210300
2103,2709103
2104,3554607
2105,2807402
2106,4127858
2107,1500347
2108,2100303
2109,2100832
2110,1702208
2111,1200054
2112,2601409
2113,2102077
2114,2800670
2115,3109105
2116,2503605
2117,1600204
2118,2701407
2119,2504157
2120,3115458
2121,2702108
2122,3512209
2123,3512506
2124,5103437
2125,2103901
2126,1100098
2127,2802304
2128,3519303
2129,2506707
2130,3302106
